Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0633323,,,
,0.1796899,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0021891,,,
,0.0175737,,,
,,,,
,0.0032837,,,
,0.0431743,,,
,,,,
,,,,
,,,,
,,,,
,0.0004257,,,
,,,,
,,,,
,,,,
,0.0792946,,,
,,,,
,,,,
,,,,
,0.0033141,,,
,0.0439952,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.14,,,,
0.35,,,,
,,,,
,,,,
,0.0478869,,,
,0.0056553,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0060201,,,
,,,,
,,,,
,0.0662512,,,
,,,,
0.196406,0.0016722,,,
0.196406,,,,
,0.064731,,,
0.19222,,,,
0.336385,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0286409,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0492855,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.082537,,,,
0.2063425,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0105807,,,
,,,,
,,,,
,,,,
,0.0026148,,,
,0.062025,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0257525,,,
,,,,
,,,,
,,,,
,0.0095166,,,
,0.032259,,,
,,,,
,,,,
,,,,
,0.0131955,,,
,,,,
,,,,
,0.0252964,,,
,,,,
,0.0105199,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1228641,,,
,,,,
,0.0013986,,,
,0.0803284,,,
,,,,
,,,,
,,,,
,0.0041046,,,
,,,,
,0.0186074,,,
,,,,
,0.0164488,,,
,,,,
,0.1131042,,,
,,,,
,,,,
,0.0301915,,,
,,,,
,0.098267,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.025266,,,
,0.023685,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0018243,,,
,0.1148677,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0603527,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.065491,,,
,0.001125,,,
